,place,category,location
376,우아한갈비,돼지고기구이,서울특별시 송파구 가락동
377,SMT 차이나룸 몬드리안호텔점,중식당,서울특별시 용산구 이태원동
378,곤지암 웅골,한식,경기도 광주시 도척면
379,신사동왕족발,족발|보쌈,경상남도 창원시 마산합포구
380,플라워카페 일주일,플라워카페,인천광역시 남동구 구월동
381,어라운드 그린,한식,서울특별시 마포구 망원동
382,곳 카페,카페|디저트,대구광역시 동구 지묘동
383,모바면가 청라점,일본식라면,인천광역시 서구 청라동
384,HOUSESTUDIO,양식,강원도 강릉시 죽헌동
385,천서리막국수,막국수,경기도 광주시 목현동
386,키토니,돈가스,부산광역시 부산진구 전포동
387,강릉엄지네꼬막집 1호점,한식,강원도 강릉시 포남동
388,은행골 본점신관,초밥|롤,서울특별시 관악구 신림동
389,EAT,양식,경상남도 창원시 마산회원구
390,소옥,한식,경상북도 경주시 황남동
391,청초수물회,생선회,강원도 속초시 조양동
392,퍼2012,베트남음식,경기도 용인시 기흥구
393,료미,일식당,부산광역시 해운대구 송정동
394,봄날,카페|디저트,강원도 정선군 임계면
395,아하바,카페|디저트,서울특별시 중구 정동
396,넝쿨커피,카페|디저트,충청남도 보령시 신흑동
397,차만다 서울숲점,양식,서울특별시 성동구 성수동1가
398,아뽀밍고,카페|디저트,제주특별자치도 서귀포시 성산읍
399,올더모어,카페|디저트,경상북도 경산시 하양읍
400,상무초밥 상무점,초밥|롤,광주광역시 서구 치평동
401,피자오 효창공원앞역점,피자,서울특별시 용산구 효창동
402,카페노량,카페|디저트,경상남도 하동군 금남면
403,바윗돌기장산곰장어,장어|먹장어요리,부산광역시 해운대구 우동
404,다올,조개요리,인천광역시 중구 덕교동
405,열정도쭈꾸미,주꾸미요리,서울특별시 용산구 원효로1가
406,스시군,초밥|롤,경기도 수원시 영통구
407,별채반 교동쌈밥,한식,경상북도 경주시 황남동
408,김형제고기의철학 창원상남점,육류|고기요리,경상남도 창원시 성산구
409,난드르깡통구이,한식,제주특별자치도 서귀포시 안덕면
410,하츠,맥주|호프,대구광역시 북구 고성동3가
411,알로하테이블 코엑스파르나스몰점,양식,서울특별시 강남구 삼성동
412,원앤온리,카페,제주특별자치도 서귀포시 안덕면
413,어라운드데이,카페|디저트,서울특별시 성동구 성수동1가
414,천돈가 중문 본점,돼지고기구이,제주특별자치도 서귀포시 색달동
415,돌아온천지연식당,생선회,제주특별자치도 서귀포시 정방동
416,수목,카페,충청북도 청주시 흥덕구
417,백목,이자카야,부산광역시 수영구 민락동
418,플래닝샐러드,카페|디저트,서울특별시 성동구 성수동1가
419,도솔미술관,갤러리카페,인천광역시 강화군 길상면
420,명동손칼국수,칼국수|만두,서울특별시 은평구 응암동
421,포레스트,카페|디저트,경상남도 함양군 함양읍
422,랜돌프비어 노원역점,맥주|호프,서울특별시 노원구 상계동
423,정상훈식당,양식,서울특별시 은평구 갈현동
424,시민식당 2호점,돼지고기구이,서울특별시 종로구 인사동
425,소사이어티카페,카페|디저트,경기도 안양시 만안구
426,RadioM,카페|디저트,서울특별시 종로구 소격동
427,소문난해물칼국수,칼국수|만두,전라남도 광양시 중동
428,카페백송,카페|디저트,경상남도 진주시 초전동
429,울프스덴,이탈리아음식,경기도 성남시 분당구
430,진미평양냉면,냉면,서울특별시 강남구 논현동
431,열정타코,멕시코|남미음식,경기도 안산시 단원구
432,젠틀한식탁,이탈리아음식,서울특별시 양천구 목동
433,카페마카,카페|디저트,강원도 평창군 봉평면
434,멕시칼리,멕시코|남미음식,서울특별시 광진구 구의동
435,등대,일식당,강원도 춘천시 석사동
436,희와래커피로스터스,카페|디저트,인천광역시 강화군 불은면
437,크앙분식 동덕여대점,종합분식,서울특별시 성북구 하월곡동
438,유어유어,카페|디저트,서울특별시 중랑구 상봉동
439,한성칼국수,칼국수|만두,경기도 과천시 과천동
440,피셔맨즈,양식,서울특별시 용산구 이태원동
441,라운드원,베이커리,서울특별시 구로구 구로동
442,보물섬,해물|생선요리,전라남도 여수시 종화동
443,인생족발,족발|보쌈,대전광역시 중구 태평동
444,마초면탁,일본식라면,제주특별자치도 제주시 조천읍
445,제주상회 온천천점,돼지고기구이,부산광역시 동래구 안락동
446,미엔아이 천등,아시아음식,서울특별시 강남구 역삼동
447,금별맥주 통영죽림점,맥주|호프,경상남도 통영시 광도면
448,임학순원주추어탕본점,해물|생선요리,경기도 의왕시 포일동
449,스끼동 동성로점,일식당,대구광역시 중구 봉산동
450,맥심플랜트,카페,서울특별시 용산구 한남동
451,인브스키친,스파게티|파스타전문,인천광역시 부평구 부평동
452,무드아쿠아리움,카페|디저트,경기도 안양시 동안구
453,어글리스토브 신논현강남역점,브런치,서울특별시 강남구 역삼동
454,넛지,카페|디저트,대전광역시 유성구 신성동
455,나무사이로,카페,서울특별시 종로구 내자동
456,하루인,이자카야,경기도 성남시 분당구
457,더 스팟 패뷸러스,카페|디저트,서울특별시 중구 명동2가
458,어니스트밀크 본점,카페|디저트,제주특별자치도 서귀포시 성산읍
459,브레드톡 갈산점,베이커리,인천광역시 부평구 갈산동
460,윤밀원,족발|보쌈,경기도 성남시 분당구
461,미엔아이,아시아음식,서울특별시 송파구 송파동
462,시스터필드,베이커리,제주특별자치도 서귀포시 강정동
463,돈카츠,돈가스,서울특별시 서대문구 홍제동
464,바다어사또,생선회,제주특별자치도 제주시 조천읍
465,그린라이크,다이어트|샐러드,울산광역시 남구 달동
466,아그라 아이파크몰점,인도음식,서울특별시 용산구 한강로3가
467,부다스벨리 이태원점,태국음식,서울특별시 용산구 이태원동
468,손커피연구소 오매기점,카페,경기도 의왕시 오전동
469,갈치공장,해물|생선요리,제주특별자치도 제주시 구좌읍
470,육갑식당 논현직영점,육류|고기요리,서울특별시 강남구 논현동
471,호쿠모쿠,양식,경기도 성남시 분당구
472,토크라피,카페,인천광역시 강화군 화도면
